structure,counts_observed,background_counts,number_of_genes_in_set,total_number_proteins_proteome,pvalue,fdr,bonforroni_cutoff,log_fold_change,name
f.1,5,14,162,20230,3.16100946616539e-07,2.8132984248872e-05,0.000561797752808989,1.64932283688595,./generated_files/OUT/OUT
a.77,8,92,162,20230,1.33604357350508e-06,5.94539390209761e-05,0.000561797752808989,1.03578302787456,./generated_files/OUT/OUT
c.3,5,45,162,20230,4.72166245603113e-05,0.0014007598619559,0.000561797752808989,1.14223835878885,./generated_files/OUT/OUT
d.79,3,21,162,20230,0.000881148327741925,0.0196055502922578,0.000561797752808989,1.25138282821392,./generated_files/OUT/OUT
c.4,2,5,162,20230,0.0012831769273925,0.0228405493075865,0.000561797752808989,1.69854085955614,./generated_files/OUT/OUT
a.74,3,47,162,20230,0.00733950383952536,0.10886930695296,0.000561797752808989,0.901504265012119,./generated_files/OUT/OUT
c.47,4,131,162,20230,0.0227743117574758,0.110759057403339,0.000561797752808989,0.581269563900372,./generated_files/OUT/OUT
e.78,1,2,162,20230,0.0236451920299262,0.110759057403339,0.000561797752808989,1.79545087256419,./generated_files/OUT/OUT
a.132,1,2,162,20230,0.0236451920299262,0.110759057403339,0.000561797752808989,1.79545087256419,./generated_files/OUT/OUT
d.44,1,1,162,20230,0.0158258584877494,0.110759057403339,0.000561797752808989,2.09648086822817,./generated_files/OUT/OUT
a.164,1,1,162,20230,0.0158258584877494,0.110759057403339,0.000561797752808989,2.09648086822817,./generated_files/OUT/OUT
a.2,3,74,162,20230,0.0234625862462169,0.110759057403339,0.000561797752808989,0.70437040321686,./generated_files/OUT/OUT
g.3,3,65,162,20230,0.0169228618022973,0.110759057403339,0.000561797752808989,0.760688766304981,./generated_files/OUT/OUT
g.14,2,27,162,20230,0.0221293249455219,0.110759057403339,0.000561797752808989,0.966147099733168,./generated_files/OUT/OUT
e.11,1,2,162,20230,0.0236451920299262,0.110759057403339,0.000561797752808989,1.79545087256419,./generated_files/OUT/OUT
d.91,1,1,162,20230,0.0158258584877494,0.110759057403339,0.000561797752808989,2.09648086822817,./generated_files/OUT/OUT
d.144,9,510,162,20230,0.0231077413980529,0.110759057403339,0.000561797752808989,0.343153201569562,./generated_files/OUT/OUT
d.96,1,2,162,20230,0.0236451920299262,0.110759057403339,0.000561797752808989,1.79545087256419,./generated_files/OUT/OUT
b.22,3,52,162,20230,0.00954517429883049,0.110759057403339,0.000561797752808989,0.857598779313037,./generated_files/OUT/OUT
d.230,1,3,162,20230,0.0314027808715145,0.13974237487824,0.000561797752808989,1.61935961350851,./generated_files/OUT/OUT
c.74,1,4,162,20230,0.0390991095697105,0.158173670532011,0.000561797752808989,1.49442087690021,./generated_files/OUT/OUT
b.33,1,4,162,20230,0.0390991095697105,0.158173670532011,0.000561797752808989,1.49442087690021,./generated_files/OUT/OUT
b.40,3,95,162,20230,0.0432995154362346,0.159976332397376,0.000561797752808989,0.595878517658988,./generated_files/OUT/OUT
b.87,1,5,162,20230,0.0467346589026043,0.159976332397376,0.000561797752808989,1.39751086389215,./generated_files/OUT/OUT
d.54,1,5,162,20230,0.0467346589026043,0.159976332397376,0.000561797752808989,1.39751086389215,./generated_files/OUT/OUT
a.153,1,5,162,20230,0.0467346589026043,0.159976332397376,0.000561797752808989,1.39751086389215,./generated_files/OUT/OUT
a.21,2,46,162,20230,0.0557779644206629,0.183860697534778,0.000561797752808989,0.734753032210581,./generated_files/OUT/OUT
g.54,1,8,162,20230,0.0692813824173302,0.186849788943709,0.000561797752808989,1.19339088123623,./generated_files/OUT/OUT
d.87,1,7,162,20230,0.0618253238648426,0.186849788943709,0.000561797752808989,1.25138282821392,./generated_files/OUT/OUT
g.52,1,8,162,20230,0.0692813824173302,0.186849788943709,0.000561797752808989,1.19339088123623,./generated_files/OUT/OUT
d.164,1,8,162,20230,0.0692813824173302,0.186849788943709,0.000561797752808989,1.19339088123623,./generated_files/OUT/OUT
